"Sl_No","Acceleration","Air Quality","Distance","Fall","Humidity","Motion Detected","Object Detected","Temperature"
"5213","0","203.223923","95","False","0","False","False","0"
"697","0","160.126266","95","False","0","False","False","0"
"4278","0","192.307541","95","False","0","False","False","0"
"3336","0","181.882904","94","False","0","False","False","0"
"2709","0","176.848892","94","False","0","False","False","0"
"54","0","299.048889","128","False","0","False","False","0"
"730","0","171.930634","95","False","0","False","False","0"
"343","0","220.564682","94","False","0","False","False","0"
"442","0","192.307541","95","False","0","False","False","0"
"2421","0","176.848892","94","False","0","False","False","0"
"4728","0","197.703064","95","False","0","False","False","0"
"3130","0","181.882904","94","False","0","False","False","0"
"4808","0","211.746002","95","False","0","False","False","0"
"1053","0","176.848892","95","False","0","False","False","0"
"2280","0","176.848892","94","False","0","False","False","0"
"4460","0","192.307541","95","False","0","False","False","0"
"5264","0","197.703064","95","False","0","False","False","0"
"3127","0","179.351288","94","False","0","False","False","0"
"2769","0","176.848892","95","False","0","False","False","0"
"4726","0","211.746002","94","False","0","False","False","0"
"287","0","318.933685","71","False","0","False","False","0"
"1596","0","181.882904","95","False","0","False","False","0"
"964","0","148.996185","95","False","0","False","False","0"
"4953","0","197.703064","95","False","0","False","False","0"
"593","0","184.444077","94","False","0","False","False","0"
"2696","0","176.848892","95","False","0","False","False","0"
"468","0","181.882904","95","False","0","False","False","0"
"1725","0","176.848892","95","False","0","False","False","0"
"1155","0","162.432129","95","False","0","False","False","0"
"1744","0","176.848892","95","False","0","False","False","0"
"813","0","140.555298","95","False","0","False","False","0"
"2987","0","181.882904","95","False","0","False","False","0"
"1128","0","174.375458","95","False","0","False","False","0"
"2106","0","181.882904","95","False","0","False","False","0"
"241","0","331.40036","56","False","0","False","False","0"
"3439","0","192.307541","95","False","0","False","False","0"
"3281","0","181.882904","95","False","0","False","False","0"
"3843","0","179.351288","94","False","0","False","False","0"
"3653","0","181.882904","95","False","0","False","False","0"
"881","0","112.285843","95","False","0","False","False","0"
"5059","0","197.703064","94","False","0","False","False","0"
"4171","0","184.444077","94","False","0","False","False","0"
"339","0","217.591599","95","False","0","False","False","0"
"1092","0","176.848892","95","False","0","False","False","0"
